User_ID,Transaction_Amount,Account_Balance,IP_Address_Flag,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Transaction_Type,Device_Type,Merchant_Category,Card_Type,Authentication_Method,Timestamp,Is_Weekend,Bank_Name,Fraud_Label,Age,Gender,City,Profession,Monthly_Income_PKR,Account_Type,Account_Age_Years
USER_6728,15540.0,25106096.4,0,6,135402.4,4,192,3721.54,ATM,Desktop,Groceries,Discover,OTP,2023-07-20 03:10:00,0,Allied Bank,1,33,Male,Karachi,Retired,40000,Current,2.3
USER_6655,15145.2,14360402.0,0,11,42736.4,2,91,1061.27,Bank_Transfer,Mobile,Electronics,Amex,PIN,2023-11-17 20:13:00,0,Meezan,0,21,Male,Rawalpindi,Retired,60000,Savings,7.8
USER_7651,2704.8,3477647.6,0,6,48711.6,0,5,762.21,E_Commerce,Tablet,Electronics,Mastercard,OTP,2023-06-20 17:15:00,1,MCB,0,26,Male,Multan,Salaried Employee,142000,Salary,8.4
USER_1248,18138.4,6576572.8,0,1,4998.0,2,3,3378.44,POS,Desktop,Restaurants,Amex,Password,2023-07-03 09:20:00,0,Meezan,0,59,Female,Rawalpindi,Housewife,15000,Salary,3.2
USER_9349,10390.8,26033814.8,0,12,128077.6,3,135,395.36,POS,Tablet,Electronics,Visa,Biometric,2023-12-21 08:48:00,1,MCB,0,20,Male,Karachi,Shopkeeper,137000,Current,1.5
USER_9413,442.4,17661380.8,0,13,86657.2,1,47,2074.77,Bank_Transfer,Desktop,Clothing,Amex,Biometric,2023-04-08 09:13:00,0,Allied Bank,0,25,Male,Sialkot,Salaried Employee,105000,Current,2.2
USER_5861,49996.8,17460665.6,0,4,137538.8,4,29,2159.31,POS,Tablet,Groceries,Visa,Password,2023-08-16 10:01:00,1,HBL,1,56,Female,Sialkot,Driver,44000,Current,12.1
USER_5939,5423.6,9636482.8,0,9,45780.0,3,129,4436.61,Bank_Transfer,Tablet,Travel,Discover,PIN,2023-04-29 04:34:00,0,MCB,0,56,Male,Faisalabad,Doctor,488000,Salary,13.8
USER_5566,6165.6,15638386.4,0,13,50324.4,3,204,633.99,ATM,Mobile,Electronics,Visa,PIN,2023-12-28 04:45:00,1,Meezan,0,62,Female,Multan,Freelancer,165000,Savings,5.2
USER_4615,57111.6,20612734.8,1,4,135016.0,4,173,4723.22,ATM,Mobile,Restaurants,Mastercard,Password,2023-06-18 23:36:00,1,Allied Bank,1,20,Male,Karachi,Shopkeeper,234000,Savings,3.7
USER_3832,15498.0,24721835.6,0,12,79360.4,0,80,625.67,POS,Tablet,Electronics,Visa,PIN,2023-05-11 16:15:00,1,MCB,0,51,Male,Lahore,Doctor,389000,Salary,9.2
USER_9751,4807.6,20155332.4,0,2,10208.8,2,165,3402.37,ATM,Mobile,Electronics,Mastercard,PIN,2023-11-25 07:35:00,0,HBL,0,41,Male,Peshawar,Shopkeeper,93000,Savings,14.0
USER_9775,20252.4,8387299.2,0,3,65408.0,4,120,3956.54,ATM,Mobile,Clothing,Discover,Password,2023-08-14 21:55:00,1,HBL,1,53,Female,Hyderabad,Business Owner,869000,Salary,8.6
USER_6725,52850.0,16262024.8,0,4,138628.0,0,85,3935.53,E_Commerce,Mobile,Travel,Amex,Password,2023-07-16 07:49:00,0,UBL,0,70,Male,Karachi,Engineer,226000,Salary,7.1
USER_3085,730.8,14505013.6,0,1,107147.6,2,86,4963.49,Bank_Transfer,Tablet,Groceries,Visa,Biometric,2023-01-11 00:41:00,0,UBL,0,34,Female,Hyderabad,Engineer,131000,Current,11.4
USER_7987,54812.8,23800190.4,0,14,63532.0,1,65,4045.87,E_Commerce,Tablet,Travel,Mastercard,PIN,2023-11-28 19:13:00,1,Meezan,0,63,Female,Rawalpindi,Business Owner,761000,Salary,12.4
USER_1116,2256.8,10683436.4,0,9,83644.4,4,232,1819.59,ATM,Desktop,Travel,Mastercard,Password,2023-07-09 22:27:00,0,MCB,1,50,Female,Peshawar,Housewife,15000,Current,11.2
USER_8088,20535.2,20176965.2,0,9,121774.8,2,92,4779.55,Bank_Transfer,Desktop,Clothing,Visa,Biometric,2023-04-20 13:18:00,0,MCB,0,60,Female,Peshawar,Shopkeeper,131000,Salary,11.0
USER_4147,2749.6,11199137.6,0,13,11877.6,2,152,2772.48,Bank_Transfer,Mobile,Electronics,Discover,Password,2023-11-08 14:12:00,0,UBL,1,58,Male,Islamabad,Teacher,96000,Current,0.9
USER_7419,55218.8,9092244.0,0,14,75062.4,0,225,1947.0,E_Commerce,Desktop,Electronics,Visa,PIN,2023-04-29 17:19:00,0,MCB,1,65,Male,Hyderabad,Student,14000,Current,4.0
USER_7666,15806.0,427014.0,0,8,77708.4,3,103,1031.7,ATM,Mobile,Restaurants,Amex,Password,2023-08-22 00:16:00,0,MCB,0,23,Male,Quetta,Engineer,280000,Savings,0.9
USER_5135,89.6,10986298.4,0,11,18592.0,1,38,1548.07,E_Commerce,Mobile,Electronics,Amex,OTP,2023-11-18 02:35:00,1,HBL,0,19,Female,Faisalabad,Shopkeeper,143000,Salary,8.3
USER_8041,17872.4,21147347.2,0,14,19373.2,1,45,3878.08,POS,Desktop,Restaurants,Visa,Biometric,2023-04-24 20:18:00,0,UBL,0,33,Female,Rawalpindi,Housewife,5000,Current,8.9
USER_2155,41358.8,11384811.2,0,5,53510.8,2,20,3055.68,POS,Desktop,Restaurants,Mastercard,OTP,2023-04-11 16:20:00,0,Allied Bank,0,49,Female,Peshawar,Retired,94000,Salary,14.6
USER_5843,35719.6,12060638.8,0,7,39160.8,0,228,3424.04,ATM,Desktop,Travel,Visa,OTP,2023-04-12 10:16:00,1,UBL,0,31,Female,Hyderabad,Freelancer,180000,Savings,2.5
USER_2756,4267.2,17191143.2,0,9,55484.8,2,195,840.45,POS,Tablet,Travel,Amex,PIN,2023-12-07 08:06:00,0,Allied Bank,0,63,Female,Quetta,Business Owner,926000,Salary,1.7
USER_4265,22512.0,16910432.0,0,10,81877.6,4,95,4530.61,POS,Desktop,Travel,Mastercard,Biometric,2023-01-18 06:08:00,0,HBL,1,65,Male,Islamabad,Business Owner,958000,Savings,13.6
USER_7471,876.4,9720774.0,0,8,74720.8,2,87,2351.65,POS,Tablet,Restaurants,Amex,Biometric,2023-04-27 06:32:00,0,Meezan,0,21,Male,Faisalabad,Business Owner,910000,Savings,9.5
USER_8456,2668.4,16835070.0,0,10,108984.4,0,206,3951.42,E_Commerce,Mobile,Groceries,Amex,PIN,2023-08-18 15:21:00,1,MCB,0,38,Male,Quetta,Retired,57000,Savings,2.9
USER_5964,6924.4,7364515.2,0,2,50764.0,2,162,1199.1,Bank_Transfer,Tablet,Clothing,Amex,Biometric,2023-07-22 00:15:00,1,HBL,0,38,Female,Lahore,Retired,47000,Savings,9.6
USER_8631,38698.8,10717935.2,0,2,118826.4,1,158,4183.86,POS,Tablet,Electronics,Mastercard,PIN,2023-12-24 09:13:00,0,MCB,0,31,Female,Karachi,Driver,32000,Current,3.9
USER_3125,11096.4,2393742.4,0,13,92327.2,4,17,4940.9,Bank_Transfer,Mobile,Travel,Visa,Password,2023-04-25 12:12:00,0,Meezan,1,63,Male,Multan,Student,26000,Savings,3.7
USER_8150,3295.6,12009544.4,0,5,121637.6,4,106,1296.27,ATM,Mobile,Groceries,Discover,Biometric,2023-11-10 20:46:00,1,Meezan,1,49,Female,Peshawar,Freelancer,341000,Savings,10.1
USER_8968,36181.6,5405503.6,0,13,103188.4,3,44,665.43,Bank_Transfer,Mobile,Clothing,Discover,PIN,2023-05-18 18:25:00,0,HBL,0,49,Female,Hyderabad,Doctor,389000,Salary,9.5
USER_6129,3740.8,3394224.4,0,6,101724.0,0,159,142.32,Bank_Transfer,Tablet,Groceries,Visa,PIN,2023-07-13 16:27:00,0,Meezan,0,32,Male,Peshawar,Student,22000,Current,2.1
USER_6910,76420.4,9794873.2,0,4,35845.6,3,121,4510.4,POS,Mobile,Groceries,Mastercard,Biometric,2023-03-10 02:01:00,0,Allied Bank,0,45,Female,Multan,Teacher,103000,Savings,5.2
USER_6333,6633.2,6895492.8,0,13,6655.6,2,25,2506.35,POS,Mobile,Restaurants,Amex,Biometric,2023-02-16 03:22:00,0,Meezan,0,70,Female,Rawalpindi,Doctor,272000,Current,1.8
USER_4369,19826.8,27721436.4,0,3,101586.8,3,211,3089.62,ATM,Tablet,Electronics,Visa,Biometric,2023-10-08 19:40:00,1,MCB,0,28,Male,Faisalabad,Engineer,232000,Current,12.0
USER_5004,6336.4,24044445.6,0,3,78990.8,3,163,817.02,Bank_Transfer,Mobile,Groceries,Discover,OTP,2023-05-07 04:16:00,1,MCB,0,48,Female,Peshawar,Housewife,20000,Savings,4.4
USER_1299,25835.6,19365150.0,0,14,83025.6,4,185,4627.43,ATM,Mobile,Travel,Mastercard,Password,2023-08-31 05:34:00,0,MCB,1,59,Male,Quetta,Retired,35000,Savings,6.6
USER_5589,31561.6,23990030.4,0,5,112876.4,3,64,229.77,ATM,Tablet,Clothing,Discover,Biometric,2023-02-24 10:48:00,0,MCB,0,22,Female,Peshawar,Business Owner,474000,Savings,14.9
USER_4320,59855.6,12537184.8,0,11,125904.8,2,179,3352.98,ATM,Mobile,Clothing,Amex,Password,2023-09-12 12:46:00,1,Allied Bank,0,66,Female,Lahore,Salaried Employee,146000,Savings,6.9
USER_7970,856.8,21182142.8,0,3,109592.0,0,62,1855.93,Bank_Transfer,Desktop,Electronics,Discover,OTP,2023-03-14 18:56:00,0,UBL,0,49,Male,Multan,Doctor,539000,Salary,14.9
USER_7335,86444.4,235662.0,0,9,51791.6,3,51,4722.91,Bank_Transfer,Mobile,Clothing,Amex,Biometric,2023-07-18 22:17:00,0,HBL,0,45,Male,Islamabad,Shopkeeper,194000,Salary,13.2
USER_1353,5314.4,27110078.8,0,5,80250.8,1,202,1607.61,E_Commerce,Tablet,Clothing,Discover,OTP,2023-04-27 10:23:00,0,MCB,1,58,Female,Islamabad,Housewife,25000,Current,9.9
USER_7190,10668.0,22494970.4,0,4,105344.4,0,209,2141.19,E_Commerce,Tablet,Restaurants,Visa,Password,2023-06-08 07:01:00,0,Meezan,0,34,Female,Multan,Housewife,15000,Savings,8.5
USER_9641,19538.4,23680230.0,1,5,78041.6,1,143,3623.95,POS,Desktop,Restaurants,Visa,OTP,2023-04-15 02:12:00,1,MCB,1,64,Female,Hyderabad,Doctor,263000,Salary,9.0
USER_7599,8288.0,25556269.2,0,5,118627.6,3,132,3869.54,ATM,Mobile,Groceries,Amex,Biometric,2023-01-07 17:23:00,0,Meezan,0,45,Female,Faisalabad,Freelancer,207000,Savings,11.7
USER_1490,64680.0,14064080.8,0,11,73130.4,2,11,736.9,POS,Tablet,Restaurants,Mastercard,Biometric,2023-04-21 10:33:00,0,Meezan,1,22,Female,Faisalabad,Housewife,15000,Savings,6.1
USER_9717,6854.4,25082016.4,0,10,106568.0,2,223,2541.13,POS,Mobile,Electronics,Mastercard,Biometric,2023-07-26 12:48:00,0,MCB,0,22,Male,Karachi,Business Owner,907000,Current,14.9
USER_3789,66390.8,10788842.4,0,5,111246.8,2,8,7.01,POS,Mobile,Electronics,Discover,PIN,2023-04-09 09:26:00,1,Allied Bank,0,62,Male,Islamabad,Student,39000,Savings,10.2
USER_3467,85848.0,18600276.8,0,13,36411.2,0,108,1700.82,POS,Desktop,Groceries,Discover,Biometric,2023-11-07 20:48:00,1,Meezan,0,55,Female,Sialkot,Government Employee,79000,Current,8.7
USER_1329,8321.6,24821717.2,0,3,15394.4,2,55,2254.22,POS,Desktop,Groceries,Mastercard,OTP,2023-11-24 10:43:00,0,Meezan,0,29,Female,Quetta,Shopkeeper,92000,Current,14.2
USER_4932,34966.4,20304998.0,0,4,128550.8,1,93,1379.33,E_Commerce,Tablet,Electronics,Mastercard,Password,2023-10-06 08:29:00,0,MCB,0,56,Male,Lahore,Driver,48000,Savings,6.1
USER_5318,7817.6,21599354.0,0,3,130088.0,0,105,3061.09,Bank_Transfer,Mobile,Clothing,Discover,Password,2023-11-14 02:39:00,0,Meezan,0,68,Female,Karachi,Freelancer,302000,Current,13.4
USER_7101,9629.2,12529885.2,0,10,95911.2,3,182,3093.97,E_Commerce,Mobile,Groceries,Amex,OTP,2023-12-31 06:09:00,0,Meezan,0,55,Male,Lahore,Doctor,399000,Savings,8.1
USER_7646,26614.0,23295624.8,0,10,10469.2,1,151,1498.03,Bank_Transfer,Mobile,Restaurants,Amex,Password,2023-04-04 22:56:00,0,MCB,0,27,Female,Karachi,Teacher,105000,Savings,7.5
USER_8482,8876.0,23230018.0,0,11,94805.2,2,103,4265.72,E_Commerce,Desktop,Clothing,Visa,PIN,2023-05-20 13:52:00,0,MCB,0,57,Female,Hyderabad,Government Employee,114000,Salary,11.1
USER_6828,53751.6,18924015.6,0,13,84739.2,3,41,4856.51,E_Commerce,Tablet,Clothing,Mastercard,PIN,2023-11-12 11:09:00,0,HBL,0,47,Male,Lahore,Driver,31000,Salary,7.2
USER_3415,12339.6,3337065.2,0,11,105338.8,3,231,13.98,Bank_Transfer,Mobile,Groceries,Visa,Password,2023-08-03 19:10:00,0,Allied Bank,0,27,Female,Hyderabad,Freelancer,134000,Savings,6.5
USER_1296,7106.4,13637330.0,1,7,32225.2,3,168,3408.27,ATM,Tablet,Clothing,Mastercard,PIN,2023-12-10 06:24:00,0,Allied Bank,0,21,Male,Hyderabad,Engineer,244000,Savings,10.4
USER_8825,110493.6,19970070.4,0,7,88513.6,0,68,2684.63,ATM,Mobile,Restaurants,Discover,Password,2023-11-12 01:51:00,0,Meezan,0,28,Female,Rawalpindi,Driver,56000,Salary,12.6
USER_2051,17743.6,13346228.0,0,4,30539.6,2,20,3572.45,POS,Mobile,Groceries,Discover,Password,2023-07-16 12:59:00,0,Allied Bank,0,34,Female,Lahore,Government Employee,139000,Savings,11.7
USER_9409,4751.6,14606446.4,0,10,89513.2,0,103,4184.27,POS,Mobile,Electronics,Visa,Biometric,2023-08-19 11:56:00,0,Meezan,0,60,Male,Hyderabad,Salaried Employee,112000,Salary,15.0
USER_5520,101880.8,25210631.6,0,10,6879.6,2,140,4614.29,POS,Desktop,Electronics,Discover,Password,2023-09-28 03:41:00,1,HBL,0,34,Male,Sialkot,Retired,98000,Savings,5.1
USER_2517,29736.0,8929407.2,0,6,117082.0,3,94,1352.51,Bank_Transfer,Desktop,Electronics,Visa,Password,2023-08-18 05:12:00,0,MCB,0,52,Male,Peshawar,Business Owner,759000,Savings,10.2
USER_2084,19717.6,5949664.0,0,1,105560.0,1,15,1571.39,Bank_Transfer,Desktop,Travel,Discover,Biometric,2023-08-14 04:36:00,0,MCB,0,53,Female,Karachi,Government Employee,79000,Savings,3.8
USER_5180,5972.4,26941507.6,0,2,44794.4,0,77,1837.58,ATM,Tablet,Clothing,Discover,Biometric,2023-06-24 01:10:00,1,MCB,0,51,Female,Hyderabad,Engineer,232000,Salary,14.7
USER_6874,17984.4,18784648.4,0,14,90871.2,0,38,3717.63,Bank_Transfer,Desktop,Clothing,Mastercard,PIN,2023-04-05 19:36:00,0,Allied Bank,0,20,Female,Islamabad,Housewife,25000,Salary,7.1
USER_3288,83692.0,15584461.2,0,14,17024.0,1,42,2015.46,POS,Tablet,Travel,Mastercard,OTP,2023-08-30 05:30:00,0,HBL,1,33,Female,Islamabad,Housewife,15000,Current,11.3
USER_2399,48630.4,14263208.4,0,10,79038.4,4,71,146.07,POS,Mobile,Groceries,Discover,Biometric,2023-06-17 10:53:00,0,Allied Bank,1,28,Male,Multan,Retired,87000,Savings,5.7
USER_3739,35537.6,23944600.4,0,12,104697.6,4,201,4787.71,E_Commerce,Tablet,Travel,Discover,PIN,2023-11-03 06:28:00,0,Allied Bank,1,45,Female,Hyderabad,Doctor,341000,Savings,1.6
USER_5231,11379.2,21284706.8,0,5,100671.2,1,128,620.67,ATM,Mobile,Electronics,Amex,PIN,2023-07-23 14:46:00,0,HBL,0,49,Male,Multan,Doctor,496000,Savings,14.3
USER_1970,3603.6,14352940.0,0,1,64514.8,2,235,1729.86,E_Commerce,Tablet,Clothing,Discover,Password,2023-08-05 04:14:00,1,HBL,0,48,Female,Sialkot,Driver,35000,Salary,11.1
USER_1362,868.0,21319692.8,0,10,57285.2,4,67,2958.68,Bank_Transfer,Mobile,Travel,Visa,PIN,2023-03-30 12:02:00,0,HBL,1,60,Female,Lahore,Freelancer,225000,Savings,10.8
USER_7002,8755.6,1908012.4,0,5,125787.2,2,122,8.34,E_Commerce,Tablet,Clothing,Amex,Password,2023-05-28 21:51:00,1,HBL,0,64,Male,Hyderabad,Engineer,259000,Current,5.2
USER_6333,21565.6,9867354.0,0,10,65214.8,0,194,3686.61,ATM,Tablet,Travel,Discover,OTP,2023-04-11 04:53:00,0,Meezan,0,70,Female,Rawalpindi,Doctor,272000,Current,1.8
USER_2927,2578.8,8154199.2,0,3,16335.2,2,167,307.19,Bank_Transfer,Mobile,Restaurants,Visa,OTP,2023-05-07 01:01:00,0,UBL,0,18,Male,Multan,Doctor,279000,Current,12.9
USER_4250,6986.0,11400673.2,0,1,16032.8,1,70,1674.43,POS,Desktop,Clothing,Mastercard,OTP,2023-10-03 07:09:00,1,UBL,0,60,Female,Rawalpindi,Salaried Employee,98000,Current,14.5
USER_1586,13448.4,18135395.6,0,5,138630.8,1,12,417.64,Bank_Transfer,Desktop,Clothing,Mastercard,Password,2023-03-18 07:20:00,0,HBL,0,62,Female,Islamabad,Housewife,20000,Salary,9.2
USER_9555,8769.6,3103094.4,0,11,19168.8,3,31,2672.02,ATM,Tablet,Travel,Visa,PIN,2023-12-27 23:35:00,1,UBL,0,43,Male,Islamabad,Government Employee,156000,Salary,5.6
USER_9814,17024.0,13461294.0,0,1,36542.8,1,74,1388.4,E_Commerce,Mobile,Restaurants,Mastercard,Password,2023-05-25 08:46:00,1,UBL,0,62,Female,Islamabad,Retired,33000,Salary,13.8
USER_9781,27669.6,5824193.2,0,10,123208.4,0,151,743.79,Bank_Transfer,Tablet,Restaurants,Discover,Password,2023-01-14 14:07:00,0,HBL,0,67,Female,Multan,Teacher,97000,Salary,7.6
USER_5143,9049.6,9867043.2,0,12,72954.0,1,93,2716.25,POS,Tablet,Groceries,Amex,OTP,2023-12-25 22:20:00,0,UBL,0,50,Male,Karachi,Salaried Employee,117000,Salary,5.9
USER_6868,48846.0,20613104.4,0,9,108253.6,3,207,4996.91,POS,Mobile,Clothing,Amex,OTP,2023-12-18 16:19:00,1,Allied Bank,0,59,Female,Peshawar,Student,19000,Salary,14.3
USER_8955,30618.0,11862278.4,0,4,99531.6,1,103,3099.26,POS,Mobile,Restaurants,Discover,Biometric,2023-04-04 15:05:00,0,Meezan,0,31,Female,Hyderabad,Government Employee,165000,Savings,11.2
USER_9104,6302.8,462453.6,0,2,131779.2,0,23,205.3,ATM,Tablet,Restaurants,Amex,Biometric,2023-05-12 15:42:00,1,Meezan,0,58,Male,Hyderabad,Freelancer,339000,Current,10.8
USER_3053,10060.4,23479680.0,0,7,65340.8,2,167,1550.67,ATM,Desktop,Electronics,Amex,PIN,2023-09-06 22:45:00,0,HBL,0,60,Female,Karachi,Shopkeeper,98000,Savings,9.2
USER_4414,79125.2,17608746.4,0,2,29579.2,0,104,1603.64,Bank_Transfer,Tablet,Electronics,Discover,Password,2023-09-04 16:01:00,0,MCB,1,27,Male,Sialkot,Doctor,488000,Savings,9.9
USER_2530,73864.0,26547614.8,0,3,133366.8,2,139,1300.58,ATM,Tablet,Clothing,Visa,OTP,2023-10-10 03:48:00,0,HBL,1,33,Female,Faisalabad,Driver,32000,Current,1.7
USER_5978,16461.2,22780668.4,0,8,104549.2,0,91,2367.83,POS,Mobile,Groceries,Discover,PIN,2023-03-15 22:49:00,1,MCB,0,20,Female,Rawalpindi,Housewife,15000,Savings,3.2
USER_7333,34927.2,17225838.0,1,13,82048.4,1,196,2379.56,Bank_Transfer,Tablet,Travel,Mastercard,Password,2023-05-21 14:40:00,0,Meezan,0,42,Female,Quetta,Business Owner,672000,Savings,14.2
USER_7982,13697.6,3674868.4,0,1,36845.2,1,79,2898.69,POS,Tablet,Restaurants,Mastercard,Biometric,2023-11-09 05:58:00,1,HBL,1,22,Female,Sialkot,Retired,52000,Savings,3.5
USER_1081,1391.6,5461279.6,0,8,110420.8,3,205,3639.03,ATM,Tablet,Clothing,Mastercard,Password,2023-08-21 21:55:00,0,Allied Bank,0,55,Male,Lahore,Driver,44000,Savings,13.1
USER_8172,14112.0,19878950.0,0,14,23769.2,1,74,1043.77,Bank_Transfer,Mobile,Electronics,Amex,Password,2023-12-04 08:41:00,0,UBL,0,62,Male,Faisalabad,Government Employee,168000,Current,5.4
USER_8784,50573.6,14936868.8,0,4,13381.2,2,90,3326.17,ATM,Tablet,Travel,Discover,Password,2023-07-05 08:50:00,0,MCB,0,37,Male,Islamabad,Doctor,592000,Savings,1.9
USER_1446,39368.0,3901937.2,0,9,63660.8,1,200,2864.87,ATM,Tablet,Clothing,Mastercard,PIN,2023-09-26 17:13:00,0,UBL,0,33,Male,Peshawar,Engineer,220000,Savings,3.1
USER_5144,64778.0,26021494.8,0,8,134052.8,1,34,2273.51,ATM,Desktop,Groceries,Visa,Password,2023-09-11 11:35:00,1,UBL,0,44,Female,Quetta,Housewife,15000,Savings,14.3
USER_6056,59421.6,1890859.6,0,4,30032.8,4,179,1046.9,POS,Mobile,Travel,Discover,Biometric,2023-12-27 20:03:00,0,HBL,1,21,Female,Rawalpindi,Housewife,25000,Salary,13.1
USER_5047,41395.2,13027691.6,0,1,36727.6,3,148,4908.34,POS,Tablet,Travel,Visa,PIN,2023-11-08 16:16:00,0,UBL,0,49,Female,Islamabad,Housewife,15000,Salary,3.2
USER_2545,44478.0,3307917.2,0,14,130337.2,1,79,2653.12,Bank_Transfer,Tablet,Travel,Amex,Password,2023-07-30 12:24:00,0,Allied Bank,0,54,Female,Multan,Driver,57000,Savings,7.0
USER_1455,1240.4,5293632.4,0,9,82023.2,3,18,2594.13,Bank_Transfer,Desktop,Restaurants,Mastercard,Password,2023-04-01 08:34:00,1,UBL,0,27,Female,Lahore,Student,18000,Salary,6.5
USER_5937,23926.0,11694888.8,0,14,63842.8,0,92,4570.28,ATM,Mobile,Groceries,Mastercard,OTP,2023-09-09 10:02:00,0,HBL,0,42,Male,Sialkot,Shopkeeper,182000,Savings,2.3
USER_1555,27809.6,8212218.0,0,10,9727.2,4,167,3368.55,E_Commerce,Tablet,Clothing,Visa,Biometric,2023-03-30 03:14:00,1,Allied Bank,1,18,Female,Hyderabad,Driver,33000,Salary,8.0
USER_7021,24441.2,23221357.6,0,2,75611.2,0,115,4233.75,Bank_Transfer,Tablet,Travel,Amex,OTP,2023-09-06 23:14:00,1,Meezan,0,65,Female,Rawalpindi,Retired,92000,Salary,9.7
USER_5459,64120.0,5715707.2,0,5,137846.8,2,107,4659.45,E_Commerce,Tablet,Restaurants,Visa,Biometric,2023-07-18 16:47:00,0,UBL,0,28,Female,Lahore,Shopkeeper,234000,Salary,0.5
USER_4575,6272.0,24384049.2,0,9,72388.4,1,78,3264.92,POS,Desktop,Electronics,Mastercard,PIN,2023-12-18 00:16:00,1,HBL,0,45,Male,Quetta,Government Employee,170000,Current,12.4
USER_7422,73805.2,27644545.6,0,4,22128.4,1,157,4134.17,E_Commerce,Desktop,Groceries,Mastercard,Biometric,2023-12-11 22:48:00,0,Meezan,0,57,Female,Quetta,Shopkeeper,134000,Salary,13.0
USER_7275,119271.6,3955806.4,0,4,38085.6,3,157,4657.46,POS,Mobile,Clothing,Mastercard,Password,2023-12-28 17:35:00,1,Meezan,0,63,Female,Lahore,Housewife,15000,Current,11.3
USER_3374,33443.2,5235591.2,0,2,5919.2,0,105,4487.33,ATM,Tablet,Clothing,Discover,OTP,2023-12-02 17:34:00,0,MCB,0,67,Female,Sialkot,Engineer,120000,Current,3.3
USER_8445,5154.8,13642605.2,0,2,14392.0,3,82,1931.13,POS,Tablet,Electronics,Mastercard,PIN,2023-11-28 19:21:00,0,Allied Bank,0,67,Female,Rawalpindi,Doctor,504000,Salary,10.1
USER_5604,2447.2,472206.0,0,10,105266.0,1,13,3286.0,Bank_Transfer,Desktop,Electronics,Discover,Password,2023-05-06 05:38:00,0,UBL,0,23,Male,Peshawar,Driver,54000,Savings,12.7
USER_1941,143858.4,17793619.2,0,6,91646.8,0,201,2720.75,POS,Desktop,Travel,Amex,PIN,2023-01-14 21:25:00,0,HBL,0,27,Male,Hyderabad,Student,11000,Current,11.1
USER_1872,16198.0,7968559.2,0,13,20064.8,4,81,3003.21,ATM,Desktop,Electronics,Amex,PIN,2023-11-27 15:04:00,0,MCB,1,64,Male,Quetta,Teacher,87000,Salary,8.9
