User_ID,Age,Gender,City,Profession,Monthly_Income_PKR,Account_Type,Account_Age_Years
USER_1094,42,Female,Karachi,Shopkeeper,165000,Savings,7.6
USER_1095,69,Female,Multan,Teacher,118000,Salary,10.7
USER_1096,53,Male,Quetta,Government Employee,71000,Savings,10.9
USER_1097,53,Male,Peshawar,Driver,53000,Current,7
USER_1098,23,Female,Rawalpindi,Doctor,563000,Savings,4.9
USER_1099,41,Female,Quetta,Business Owner,510000,Current,15
USER_1100,39,Female,Peshawar,Teacher,80000,Current,3.8
USER_1101,30,Female,Lahore,Retired,54000,Savings,3.6
USER_1102,35,Female,Lahore,Government Employee,99000,Savings,5.7
USER_1103,18,Male,Faisalabad,Student,12000,Salary,4.7
USER_1104,58,Female,Lahore,Student,29000,Current,7.3
USER_1105,39,Male,Karachi,Teacher,116000,Current,2.2
USER_1106,43,Female,Lahore,Freelancer,98000,Savings,2.7
USER_1107,37,Female,Rawalpindi,Housewife,20000,Salary,9.1
USER_1108,32,Female,Peshawar,Shopkeeper,158000,Salary,14.9
USER_1109,54,Male,Sialkot,Retired,43000,Savings,9.6
USER_1110,60,Male,Islamabad,Government Employee,83000,Salary,1.6
USER_1111,44,Female,Sialkot,Shopkeeper,156000,Savings,3.9
USER_1112,36,Female,Lahore,Driver,38000,Current,11.9
USER_1113,55,Female,Hyderabad,Housewife,5000,Salary,2.7
USER_1114,70,Male,Lahore,Student,15000,Current,9.1
USER_1115,36,Female,Lahore,Shopkeeper,160000,Salary,6.3
USER_1116,50,Female,Peshawar,Housewife,0,Current,11.2
USER_1117,34,Male,Lahore,Government Employee,148000,Salary,9
USER_1118,66,Female,Sialkot,Student,35000,Savings,7.3
USER_1119,46,Female,Islamabad,Freelancer,299000,Salary,12.3
USER_1120,48,Female,Hyderabad,Engineer,204000,Salary,2
USER_1121,39,Female,Peshawar,Teacher,103000,Current,12.3
USER_1122,20,Female,Lahore,Engineer,186000,Current,2.2
USER_1123,50,Male,Quetta,Shopkeeper,188000,Savings,3.2
USER_1124,57,Female,Peshawar,Student,17000,Current,8.5
USER_1125,46,Female,Lahore,Student,31000,Salary,12.1
USER_1126,28,Female,Quetta,Student,28000,Current,1.9
USER_1127,47,Male,Islamabad,Shopkeeper,157000,Salary,10.7
USER_1128,48,Female,Rawalpindi,Shopkeeper,225000,Savings,6.1
USER_1129,50,Male,Lahore,Teacher,111000,Current,5.4
USER_1130,35,Male,Faisalabad,Retired,69000,Salary,8.9
USER_1131,49,Male,Peshawar,Business Owner,658000,Current,5.3
USER_1132,42,Female,Multan,Government Employee,151000,Savings,8.8
USER_1133,67,Female,Karachi,Engineer,244000,Salary,13.7
USER_1134,42,Male,Peshawar,Student,14000,Salary,14.5
USER_1135,24,Female,Lahore,Business Owner,629000,Savings,11
USER_1136,59,Male,Lahore,Shopkeeper,149000,Current,9.5
USER_1137,59,Male,Multan,Driver,58000,Salary,6
USER_1138,58,Female,Quetta,Student,30000,Savings,3.9
USER_1139,36,Male,Lahore,Doctor,252000,Salary,10.7
USER_1140,46,Male,Faisalabad,Student,12000,Current,12
USER_1141,40,Female,Hyderabad,Salaried Employee,102000,Salary,6.5
USER_1142,68,Male,Islamabad,Salaried Employee,80000,Salary,13.1
USER_1143,61,Male,Peshawar,Freelancer,145000,Savings,7.2
USER_1144,47,Female,Karachi,Shopkeeper,155000,Salary,8.4
USER_1145,46,Female,Sialkot,Teacher,102000,Current,10.5
USER_1146,37,Male,Hyderabad,Shopkeeper,108000,Savings,6
USER_1147,54,Female,Faisalabad,Student,37000,Salary,6.2
USER_1148,54,Male,Sialkot,Retired,95000,Current,11.7
USER_1149,56,Female,Rawalpindi,Driver,36000,Salary,4.1
USER_1150,67,Male,Lahore,Driver,51000,Savings,5
USER_1151,20,Female,Islamabad,Housewife,10000,Current,11.3
USER_1152,30,Male,Quetta,Engineer,259000,Salary,13.7
USER_1153,34,Female,Faisalabad,Retired,74000,Savings,7.3
USER_1154,27,Male,Hyderabad,Business Owner,534000,Savings,12
USER_1155,34,Male,Peshawar,Engineer,296000,Salary,10.2
USER_1156,42,Female,Lahore,Driver,38000,Current,0.9
USER_1157,38,Male,Lahore,Driver,57000,Current,13.7
USER_1158,59,Female,Lahore,Salaried Employee,76000,Savings,4.9
USER_1159,25,Male,Rawalpindi,Business Owner,292000,Current,7.1
USER_1160,65,Female,Sialkot,Retired,50000,Current,10
USER_1161,57,Female,Faisalabad,Student,33000,Current,3.7
USER_1162,33,Female,Lahore,Driver,42000,Salary,13.6
USER_1163,40,Male,Hyderabad,Teacher,72000,Savings,14.3
USER_1164,23,Male,Sialkot,Student,12000,Current,4
USER_1165,68,Male,Lahore,Business Owner,367000,Salary,3.6
USER_1166,39,Male,Sialkot,Student,19000,Savings,14.8
USER_1167,34,Male,Lahore,Driver,58000,Savings,2.4
USER_1168,68,Male,Sialkot,Engineer,124000,Savings,4.3
USER_1169,65,Female,Quetta,Housewife,0,Current,7
USER_1170,50,Male,Peshawar,Business Owner,382000,Salary,1.1
USER_1171,51,Female,Peshawar,Driver,31000,Savings,15
USER_1172,45,Male,Peshawar,Retired,88000,Savings,13.5
USER_1173,56,Male,Lahore,Salaried Employee,106000,Salary,9.7
USER_1174,63,Female,Hyderabad,Freelancer,348000,Current,7.1
USER_1175,45,Male,Lahore,Driver,51000,Salary,11
USER_1176,45,Female,Rawalpindi,Doctor,378000,Current,6.3
USER_1177,24,Female,Hyderabad,Engineer,294000,Current,5.9
USER_1178,61,Female,Lahore,Housewife,0,Savings,6.8
USER_1179,65,Female,Islamabad,Business Owner,213000,Salary,14.4
USER_1180,39,Male,Hyderabad,Engineer,294000,Current,13.1
USER_1181,21,Female,Sialkot,Teacher,83000,Savings,8.9
USER_1182,27,Female,Rawalpindi,Housewife,15000,Salary,5.8
USER_1183,54,Male,Hyderabad,Business Owner,955000,Salary,9.4
USER_1184,53,Male,Sialkot,Driver,57000,Salary,4.4
USER_1185,35,Female,Multan,Engineer,122000,Savings,13.1
USER_1186,60,Female,Lahore,Salaried Employee,74000,Savings,11.3
USER_1187,42,Female,Peshawar,Engineer,161000,Current,5
USER_1188,67,Male,Karachi,Salaried Employee,91000,Salary,1.2
USER_1189,35,Female,Hyderabad,Shopkeeper,239000,Current,6.5
USER_1190,66,Male,Multan,Doctor,258000,Current,10.3
USER_1191,49,Female,Karachi,Government Employee,112000,Salary,1.3
USER_1192,37,Male,Islamabad,Teacher,79000,Current,2.2
USER_1193,65,Female,Islamabad,Salaried Employee,120000,Salary,10.7
USER_1194,53,Female,Lahore,Doctor,589000,Savings,6.8
USER_1195,22,Female,Sialkot,Doctor,501000,Current,10.8
USER_1196,36,Male,Hyderabad,Student,21000,Savings,12.1
USER_1197,47,Female,Lahore,Doctor,256000,Savings,6.8
USER_1198,51,Male,Hyderabad,Teacher,109000,Current,3.7
USER_1199,22,Male,Quetta,Business Owner,353000,Current,5.6
USER_1200,70,Female,Rawalpindi,Housewife,0,Current,3.4
USER_1201,27,Male,Islamabad,Driver,46000,Current,11.4
USER_1202,46,Female,Multan,Salaried Employee,128000,Savings,7.3
USER_1203,37,Female,Sialkot,Student,22000,Salary,1.6
USER_1204,46,Male,Karachi,Engineer,195000,Savings,9.8
USER_1205,57,Female,Peshawar,Freelancer,361000,Salary,13.5
USER_1206,69,Male,Multan,Freelancer,319000,Salary,2.7
USER_1207,46,Male,Multan,Retired,41000,Salary,9.9
USER_1208,33,Female,Peshawar,Business Owner,698000,Salary,2.8
USER_1209,36,Female,Hyderabad,Engineer,298000,Salary,1.3
USER_1210,59,Female,Lahore,Engineer,145000,Salary,10.3
USER_1211,34,Female,Multan,Housewife,0,Current,5
USER_1212,62,Female,Islamabad,Freelancer,114000,Current,8.6
USER_1213,68,Female,Islamabad,Driver,53000,Salary,15
USER_1214,23,Female,Quetta,Engineer,125000,Current,5
USER_1215,39,Female,Rawalpindi,Government Employee,78000,Savings,1.6
USER_1216,50,Male,Multan,Freelancer,139000,Salary,6
USER_1217,29,Male,Peshawar,Student,23000,Current,10.3
USER_1218,46,Female,Peshawar,Government Employee,130000,Savings,5
USER_1219,30,Female,Sialkot,Shopkeeper,201000,Current,11.8
USER_1220,51,Female,Islamabad,Government Employee,165000,Salary,2.5
USER_1221,21,Female,Multan,Business Owner,258000,Salary,12.8
USER_1222,36,Male,Islamabad,Teacher,89000,Salary,2.6
USER_1223,23,Male,Peshawar,Engineer,127000,Current,1.3
USER_1224,41,Female,Hyderabad,Housewife,15000,Savings,0.9
USER_1225,63,Female,Islamabad,Salaried Employee,75000,Current,13.8
USER_1226,62,Male,Peshawar,Shopkeeper,241000,Savings,13.6
USER_1227,34,Male,Islamabad,Business Owner,913000,Salary,8.2
USER_1228,67,Female,Rawalpindi,Teacher,68000,Savings,4
USER_1229,68,Female,Lahore,Housewife,25000,Salary,8.3
USER_1230,50,Male,Islamabad,Teacher,88000,Savings,9.4
USER_1231,54,Female,Islamabad,Driver,52000,Savings,8.1
USER_1232,22,Male,Hyderabad,Shopkeeper,91000,Salary,6.1
USER_1233,34,Female,Multan,Housewife,15000,Savings,11.1
USER_1234,24,Female,Islamabad,Student,22000,Salary,5.4
USER_1235,29,Female,Peshawar,Driver,36000,Savings,1.4
USER_1236,20,Female,Rawalpindi,Student,36000,Savings,13.3
USER_1237,37,Female,Quetta,Shopkeeper,146000,Savings,11.4
USER_1238,36,Female,Karachi,Driver,41000,Current,2.3
USER_1239,45,Female,Peshawar,Doctor,378000,Savings,7.7
USER_1240,41,Female,Lahore,Retired,86000,Savings,6.7
USER_1241,52,Female,Multan,Housewife,0,Current,10.1
USER_1242,46,Female,Islamabad,Retired,88000,Current,7
USER_1243,40,Female,Faisalabad,Driver,56000,Savings,1.6
USER_1244,43,Female,Quetta,Retired,51000,Savings,2.6
USER_1245,61,Female,Karachi,Salaried Employee,79000,Savings,11.8
USER_1246,41,Female,Sialkot,Student,30000,Savings,10.3
USER_1247,41,Female,Lahore,Freelancer,142000,Salary,5.8
USER_1248,59,Female,Rawalpindi,Housewife,0,Salary,3.2
USER_1249,42,Male,Faisalabad,Teacher,106000,Current,3.6
USER_1250,36,Female,Rawalpindi,Housewife,0,Savings,7.1
USER_1251,46,Male,Multan,Driver,41000,Salary,1.4
USER_1252,36,Female,Islamabad,Retired,53000,Current,7.9
USER_1253,30,Male,Rawalpindi,Shopkeeper,87000,Current,8.5
USER_1254,47,Female,Sialkot,Housewife,0,Current,6.3
USER_1255,64,Female,Quetta,Doctor,415000,Salary,1.6
USER_1256,59,Male,Peshawar,Shopkeeper,216000,Current,2.4
USER_1257,58,Male,Islamabad,Doctor,464000,Savings,12.6
USER_1258,27,Female,Islamabad,Salaried Employee,112000,Salary,3.8
USER_1259,36,Male,Faisalabad,Government Employee,143000,Salary,4.5
USER_1260,37,Male,Quetta,Driver,36000,Salary,14.2
USER_1261,28,Female,Sialkot,Student,37000,Savings,1.7
USER_1262,67,Female,Rawalpindi,Freelancer,288000,Salary,9.8
USER_1263,58,Female,Faisalabad,Shopkeeper,144000,Salary,6.4
USER_1264,22,Male,Islamabad,Shopkeeper,189000,Current,7.2
USER_1265,56,Male,Multan,Retired,72000,Salary,14.8
USER_1266,43,Male,Multan,Business Owner,739000,Savings,5.1
USER_1267,25,Female,Peshawar,Government Employee,78000,Savings,1.2
USER_1268,57,Female,Rawalpindi,Salaried Employee,113000,Salary,11
USER_1269,66,Male,Peshawar,Business Owner,639000,Current,13.2
USER_1270,19,Male,Hyderabad,Business Owner,629000,Savings,3.6
USER_1271,21,Male,Faisalabad,Shopkeeper,237000,Salary,10.3
USER_1272,52,Male,Lahore,Doctor,270000,Current,11
USER_1274,41,Male,Hyderabad,Student,29000,Salary,3.3
USER_1275,36,Male,Hyderabad,Business Owner,622000,Salary,4.6
USER_1276,61,Female,Islamabad,Housewife,20000,Current,12
USER_1277,53,Female,Islamabad,Government Employee,139000,Salary,6.3
USER_1278,20,Male,Islamabad,Retired,74000,Current,8
USER_1279,56,Male,Multan,Freelancer,237000,Savings,6.2
USER_1280,65,Female,Sialkot,Engineer,253000,Salary,8.2
USER_1281,54,Female,Peshawar,Student,22000,Current,10.3
USER_1282,55,Female,Karachi,Freelancer,319000,Current,14.5
USER_1283,54,Male,Karachi,Freelancer,322000,Savings,8.1
USER_1284,57,Female,Islamabad,Driver,38000,Savings,8.8
USER_1285,25,Male,Karachi,Shopkeeper,162000,Current,2.7
USER_1286,31,Female,Quetta,Freelancer,317000,Salary,11
USER_1287,26,Male,Quetta,Engineer,294000,Current,8.1
USER_1288,29,Female,Quetta,Engineer,263000,Current,10.3
USER_1289,61,Female,Sialkot,Shopkeeper,130000,Savings,4.5
USER_1290,32,Female,Faisalabad,Retired,57000,Salary,10.7
USER_1291,48,Female,Quetta,Retired,66000,Current,2.3
USER_1292,52,Female,Hyderabad,Engineer,158000,Current,1.1
USER_1293,23,Female,Peshawar,Driver,38000,Salary,7.4
USER_1294,70,Female,Quetta,Retired,66000,Savings,2.1
USER_1295,55,Male,Rawalpindi,Student,32000,Salary,3.8
USER_1296,21,Male,Hyderabad,Engineer,244000,Savings,10.4
USER_1297,18,Male,Hyderabad,Driver,59000,Current,7.4
USER_1298,66,Female,Multan,Teacher,102000,Savings,13.7
USER_1299,59,Male,Quetta,Retired,35000,Savings,6.6
USER_1300,20,Female,Peshawar,Salaried Employee,108000,Savings,0.6
USER_1301,56,Male,Multan,Teacher,90000,Salary,8.4
USER_1302,26,Female,Faisalabad,Government Employee,166000,Savings,5.3
USER_1303,47,Female,Islamabad,Student,34000,Current,12
USER_1304,61,Male,Islamabad,Freelancer,283000,Current,8
USER_1305,43,Male,Islamabad,Salaried Employee,133000,Current,14.1
USER_1306,34,Female,Rawalpindi,Shopkeeper,150000,Current,4.9
USER_1307,54,Male,Faisalabad,Driver,42000,Salary,3.9
USER_1308,25,Female,Faisalabad,Salaried Employee,123000,Salary,7.8
USER_1309,67,Female,Lahore,Driver,40000,Current,9.4
USER_1310,26,Female,Islamabad,Shopkeeper,239000,Current,6.5
USER_1311,48,Male,Rawalpindi,Driver,55000,Salary,13.2
USER_1312,51,Female,Quetta,Retired,77000,Savings,13.8
USER_1313,21,Male,Sialkot,Business Owner,307000,Savings,5.3
USER_1314,46,Male,Rawalpindi,Retired,94000,Savings,13.5
USER_1315,69,Male,Peshawar,Salaried Employee,137000,Current,7.1
USER_1316,53,Female,Faisalabad,Retired,33000,Current,4.2
USER_1317,65,Female,Sialkot,Housewife,0,Current,5.5
USER_1318,52,Male,Lahore,Shopkeeper,88000,Current,6.4
USER_1319,67,Female,Multan,Doctor,435000,Current,5.9
USER_1320,60,Female,Multan,Housewife,0,Salary,6.2
USER_1321,64,Male,Karachi,Student,20000,Current,10.3
USER_1322,45,Female,Rawalpindi,Government Employee,120000,Current,2.7
USER_1323,64,Male,Karachi,Driver,44000,Salary,11.6
USER_1324,33,Female,Lahore,Housewife,0,Current,9.2
USER_1325,21,Male,Karachi,Doctor,430000,Savings,8.3
USER_1326,26,Female,Rawalpindi,Retired,72000,Salary,9.2
USER_1327,70,Female,Rawalpindi,Teacher,117000,Savings,14.8
USER_1328,32,Female,Faisalabad,Teacher,64000,Salary,14.3
USER_1329,29,Female,Quetta,Shopkeeper,92000,Current,14.2
USER_1330,42,Female,Hyderabad,Doctor,278000,Current,6
USER_1331,48,Male,Rawalpindi,Teacher,116000,Salary,2.6
USER_1332,21,Female,Hyderabad,Business Owner,706000,Savings,6.1
USER_1333,31,Female,Lahore,Shopkeeper,177000,Savings,8.3
USER_1334,21,Female,Hyderabad,Driver,50000,Salary,1.1
USER_1335,30,Male,Peshawar,Government Employee,174000,Current,4.9
USER_1336,31,Male,Lahore,Retired,93000,Savings,10.6
USER_1337,31,Female,Rawalpindi,Business Owner,487000,Current,6
USER_1338,59,Female,Faisalabad,Teacher,84000,Salary,13.3
USER_1339,24,Female,Multan,Government Employee,109000,Current,6.5
USER_1340,32,Male,Karachi,Teacher,96000,Salary,8.9
USER_1341,36,Male,Rawalpindi,Engineer,180000,Current,8.8
USER_1342,49,Female,Faisalabad,Shopkeeper,248000,Salary,7.6
USER_1343,64,Female,Islamabad,Salaried Employee,142000,Current,3.2
USER_1344,59,Male,Quetta,Student,37000,Savings,14.2
USER_1345,21,Male,Hyderabad,Salaried Employee,100000,Savings,10.8
USER_1346,31,Female,Multan,Student,30000,Salary,10.2
USER_1347,48,Female,Karachi,Student,27000,Salary,6.5
USER_1348,51,Female,Quetta,Teacher,61000,Salary,12.3
USER_1349,45,Female,Lahore,Housewife,0,Savings,3.3
USER_1350,34,Female,Faisalabad,Doctor,241000,Current,14.4
USER_1351,54,Male,Rawalpindi,Teacher,105000,Savings,10
USER_1352,66,Male,Lahore,Doctor,399000,Current,8.5
USER_1353,58,Female,Islamabad,Housewife,25000,Current,9.9
USER_1354,54,Male,Quetta,Student,18000,Savings,13.6
USER_1355,54,Female,Faisalabad,Student,12000,Salary,13.9
USER_1356,54,Male,Islamabad,Engineer,124000,Savings,9
USER_1357,70,Female,Lahore,Teacher,71000,Salary,4
USER_1358,61,Female,Hyderabad,Retired,48000,Salary,11
USER_1359,65,Female,Karachi,Housewife,20000,Savings,12.7
USER_1360,56,Female,Multan,Student,31000,Current,11.9
USER_1361,49,Male,Multan,Business Owner,544000,Current,3.2
USER_1362,60,Female,Lahore,Freelancer,225000,Savings,10.8
USER_1363,35,Male,Hyderabad,Retired,50000,Salary,6.1
USER_1364,24,Male,Karachi,Teacher,89000,Current,11.5
USER_1365,26,Male,Islamabad,Doctor,435000,Salary,8.5
USER_1366,24,Male,Lahore,Engineer,265000,Savings,9.2
USER_1367,42,Male,Faisalabad,Doctor,403000,Savings,11
USER_1368,33,Male,Hyderabad,Salaried Employee,88000,Current,4.9
USER_1369,27,Male,Islamabad,Doctor,345000,Current,4.8
USER_1370,41,Female,Rawalpindi,Retired,95000,Salary,9.4
USER_1371,24,Male,Faisalabad,Student,23000,Current,12.7
USER_1372,69,Female,Peshawar,Engineer,233000,Salary,14.6
USER_1373,37,Female,Sialkot,Retired,56000,Current,5.1
USER_1374,38,Female,Peshawar,Freelancer,197000,Current,6
USER_1375,41,Male,Sialkot,Government Employee,138000,Salary,3.1
USER_1376,19,Female,Rawalpindi,Shopkeeper,156000,Salary,1.5
USER_1377,61,Female,Islamabad,Driver,40000,Savings,4.2
USER_1378,63,Female,Hyderabad,Housewife,25000,Salary,7.4
USER_1379,52,Female,Quetta,Student,36000,Current,10.7
USER_1380,56,Male,Lahore,Government Employee,146000,Salary,5.6
USER_1381,57,Male,Sialkot,Driver,52000,Salary,6.3
USER_1382,68,Female,Lahore,Student,13000,Current,3.7
USER_1383,51,Male,Peshawar,Engineer,223000,Current,11.7
USER_1384,62,Male,Multan,Student,26000,Savings,4.8
USER_1385,25,Male,Multan,Teacher,82000,Current,11.9
USER_1386,48,Female,Peshawar,Housewife,25000,Salary,10.6
USER_1387,22,Female,Karachi,Retired,45000,Savings,12.8
USER_1388,24,Male,Rawalpindi,Business Owner,333000,Salary,2.8
USER_1389,45,Female,Rawalpindi,Doctor,530000,Savings,3.2
USER_1390,45,Female,Karachi,Retired,56000,Current,9.1
USER_1391,18,Male,Rawalpindi,Teacher,109000,Salary,12.2
USER_1392,54,Male,Quetta,Salaried Employee,118000,Current,3.4
USER_1393,34,Female,Quetta,Driver,40000,Salary,6.1
USER_1394,55,Male,Multan,Engineer,240000,Salary,3
USER_1395,63,Female,Sialkot,Freelancer,114000,Salary,2.4
USER_1396,33,Female,Lahore,Salaried Employee,119000,Salary,2.5
USER_1397,44,Male,Sialkot,Doctor,422000,Savings,7.6
USER_1398,62,Male,Quetta,Salaried Employee,134000,Current,2.5
USER_1399,46,Male,Multan,Student,26000,Savings,3.3
USER_1400,53,Female,Hyderabad,Driver,46000,Current,10.8
USER_1401,49,Male,Lahore,Freelancer,86000,Savings,4.7
USER_1402,32,Female,Islamabad,Shopkeeper,228000,Salary,11.7
USER_1403,53,Female,Sialkot,Housewife,10000,Salary,12.4
USER_1404,52,Male,Peshawar,Business Owner,379000,Current,2
USER_1405,66,Male,Faisalabad,Student,25000,Current,5.6
USER_1406,46,Male,Rawalpindi,Government Employee,166000,Salary,9
USER_1407,63,Female,Islamabad,Freelancer,143000,Savings,12.3
USER_1408,54,Female,Quetta,Teacher,99000,Salary,2.9
USER_1409,36,Female,Sialkot,Teacher,116000,Salary,14.8
USER_1410,70,Male,Islamabad,Doctor,231000,Current,13.1
USER_1411,62,Male,Rawalpindi,Salaried Employee,112000,Savings,11.5
USER_1412,43,Female,Islamabad,Freelancer,211000,Salary,6.5
USER_1413,22,Male,Hyderabad,Business Owner,936000,Current,10.6
USER_1414,47,Female,Multan,Freelancer,71000,Salary,1.9
USER_1415,58,Female,Lahore,Business Owner,567000,Savings,14.5
USER_1416,49,Female,Multan,Teacher,82000,Salary,8.9
USER_1417,49,Female,Karachi,Student,13000,Salary,11.9
USER_1418,19,Male,Islamabad,Shopkeeper,200000,Savings,14.9
USER_1419,30,Male,Faisalabad,Salaried Employee,106000,Savings,10
USER_1420,23,Female,Islamabad,Student,23000,Salary,4.9
USER_1421,66,Male,Hyderabad,Driver,33000,Salary,1.9
USER_1422,48,Male,Islamabad,Freelancer,189000,Salary,10.4
USER_1423,18,Female,Lahore,Doctor,564000,Savings,7.4
USER_1424,42,Female,Lahore,Housewife,15000,Current,13.3
USER_1425,42,Female,Islamabad,Housewife,0,Salary,9.9
USER_1426,40,Male,Islamabad,Doctor,523000,Salary,6.9
